extinguish,մարել
distinguish,տարբերակել
burst down a heroes,հերոսներին արագորեն ոչնչացնել
burst,պայթյուն
excus,արդարացում
keen on,հետաքրքրված
devotion,նվիրվածություն
nearly,գրեթե
intermediate,միջանկյալ
resemble,նմանվել
adapt,հարմարվել
comprehension,ըմբռնում
approach,մոտեցում
exact,ճշգրիտ
right away,անմիջապես
addicted,կախվածություն
instand,հասկանալ
finde out,պարզել
rather,ավելի շուտ
by the way,ի դեպ
explore,ուսումնասիրել
afford,թույլ տալ
effort,ջանք
enroll,գրանցվել
attend,մասնակցել
willing,կամավոր
bound,կապված
recruit,նորակոչիկ
enforce,պարտադրել
Journey,Ճանապարհորդություն
recent,վերջերս
interrupt,ընդհատել
provides,ապահովում է
proper,պատշաճ
purpose,նպատակ
provide,ապահովել
establish,հաստատել
distribution,բաշխում
spread,տարածվել
obyesly,հնազանդորեն
flat,հարթ
overacted,չափազանցված
reliable,հուսալի
either,կամ
kudos,գովասանք
unpredictable,անկանխատեսելի
bunch,փունջ
mentally,մտքում
excited about,ոգևորված
liquid,հեղուկ
expense,ծախս
recently,վերջերս
accelerate,արագացնել
consume,սպառել
almost,գրեթե
mess,խառնաշփոթ
obviously,ակնհայտորեն
reflect,արտացոլել
pity,կարեկցանք
soft drinks,գազավորված ըմպելիքներ
digest,մարսողություն
maintain,պահպանել
benefits,օգուտներ
plain water,պարզ ջուր
quench my thirst,հագեցրու իմ ծարավը
court,դատարան
definition,սահմանում
Adventure,Արկած
Make sure to check it out.,"Համոզվեք, որ ստուգել եք այն։"
pleasure,հաճույք
loaded so far,բեռնված է մինչ այժմ
fading,մարում
divide jajment,աստվածային դատաստան
socicty,հասարակություն
discribe,նկարագրել
benefit,օգուտ
i caught a quick glimpes,ես արագ հայացք նետեցի
caught,բռնված
self-aware,ինքնագիտակից
glimpse,հայացք
mention,հիշատակում
particpate,մասնակցել
Based,Հիմնված
nail,եղունգ
perhaps,գուցե
spare the sympaty,խնայեք համակրանքը
fever,ջերմություն
Fury,Զայրույթ
beyond,այն կողմ
misery,տառապանք
exude elegance,излучать элегантность
similar,նման
sanctuary,ապաստարան
Always way too self aware,Միշտ չափազանց ինքնագիտակից
aware,գիտակցող
capture,գրավում
chagrin,տխրություն
fluently,սահուն կերպով
violence,բռնություն
conclusion,եզրակացություն
flourish,ծաղկել
whatever,ինչ էլ որ լինի
adjust,կարգավորել
slipper,հողաթափ
plural,հոգնակի
submit or die,հանձնվել կամ մեռնել
pure,մաքուր
recognize,ճանաչել
