Ֆրանսերեն,Հայերեն
avoir un coup de foudre,սիրահարվել առաջին հայացքից
avoir un enfant,երեխա ունենալ
déménager,տեղափոխվել (նոր բնակարան)
être célibataire / en couple,ամուրի լինել / զույգ լինել
faire connaissance,ծանոթանալ
grandir,մեծանալ
naître,ծնվել
rencontrer quelqu'un / se rencontrer,հանդիպել մեկին / հանդիպել իրար
se faire des ami(e)s,ընկերներ ձեռք բերել
se marier (avec quelqu'un),ամուսնանալ (մեկի հետ)
se séparer (de quelqu'un),բաժանվել (մեկից)
s'installer,հաստատվել / տեղավորվել
tomber amoureux(se) (de quelqu'un),սիրահարվել (մեկին)
le/la célibataire,ամուրի
le conjoint / la conjointe,կողակից
le couple,զույգ
l'enfant (m./f.),երեխա
la femme,կին
le mari,ամուսին
le/la meilleur(e) ami(e),լավագույն ընկեր
la rencontre,հանդիպում
la vie de famille,ընտանեկան կյանք
chercher du travail,աշխատանք փնտրել
devenir trader / écrivain(e) / humoriste…,դառնալ թրեյդեր / գրող / հումորիստ…
faire / finir ses études,սովորել / ավարտել ուսումը
faire un séjour Erasmus / partir en Erasmus,սովորել Erasmus ծրագրով / մեկնել Erasmus-ով
faire un stage,պրակտիկա անցնել
obtenir un diplôme,դիպլոմ ստանալ
travailler dans une entreprise,աշխատել ընկերությունում
l'acteur / l'actrice,դերասան / դերասանուհի
le chanteur / la chanteuse,երգիչ / երգչուհի
le compositeur / la compositrice,կոմպոզիտոր
l'écrivain(e),գրող
l'interprète,կատարող (երգի / դերի)
le/la musicien(ne),երաժիշտ
le/la scénariste,սցենարիստ
