resemble,նմանվել
adapt,հարմարվել
i caught a quick glimpes,ես արագ հայացք նետեցի
caught,բռնված
self-aware,ինքնագիտակից
glimpse,հայացք
mention,հիշատակում
particpate,մասնակցել
Based,Հիմնված
almost,գրեթե
reduce,նվազեցնել
nail,եղունգ
perhaps,գուցե
spare the sympaty,խնայեք համակրանքը
fever,ջերմություն
Fury,Զայրույթ
beyond,այն կողմ
misery,տառապանք
exude elegance,излучать элегантность
similar,նման
sanctuary,ապաստարան
Always way too self aware,Միշտ չափազանց ինքնագիտակից
aware,գիտակցող
capture,գրավում
chagrin,տխրություն
fluently,սահուն կերպով
violence,բռնություն
conclusion,եզրակացություն
flourish,ծաղկել
whatever,ինչ էլ որ լինի
adjust,կարգավորել
slipper,հողաթափ
plural,հոգնակի
submit or die,հանձնվել կամ մեռնել
pure,մաքուր
recognize,ճանաչել
junk,աղբ
brag,պարծենալ
town,քաղաք
adjustment,ճշգրտում
attempt,փորձ
exciting,հուզիչ
however,սակայն
although,չնայած
focused,կենտրոնացած
զարմանալ,to be surprised
wonder,զարմանք
responsible,պատասխանատու
dare,համարձակվել
admit,ընդունել
neither,ո՛չ մեկը
suspect,подозревать
cause,պատճառ
major,խոշոր
definitly,անպայման
shy,ամաչկոտ
responsibility,պատասխանատվություն
wierd,տարօրինակ
mat,գորգ
Your mind is violently vacillating between science and nonsense.,Քո միտքը բռնի կերպով տատանվում է գիտության և անհեթեթության միջև։
struggling,պայքարելով
your mind is a vacillating,քո միտքը տատանվում է
vilant,злодей
vilantly,դաժանորեն
mentally,մտքում
grip,բռնվածք
bunch,փունջ
tender,քնքուշ
villian,չարագործ
submit,ներկայացնել
decisions,որոշումներ
recently,վերջերս
decide,որոշել
fridge,սառնարան
unpredictable,անկանխատեսելի
I tend to,Ես հակված եմ
quit,դադարեցնել
ambush,засада
spot on,ճիշտ տեղում
kudos,գովասանք
either,կամ
swear,երդվել
reliable,հուսալի
troubleshooting,խնդիրների լուծում
definitely,անպայման
founder,հիմնադիր
employ,աշխատանքի ընդունել
overacted,չափազանցված
flat,հարթ
obvyesly,ակնհայտորեն
obyesly,հնազանդորեն
ship,նավ
ship them,ուղարկել դրանք
reach,հասնել
spread,տարածվել
unwell,անառողջ
sample,նմուշ
distribution,բաշխում
essential,էական
several,մի քանի
attached,կցված
entirely,ամբողջությամբ
establish,հաստատել
reliability,հուսալիություն
ensouring,ոգեշնչող
provide,ապահովել
purpose,նպատակ
unreliable,անվստահելի
modern,ժամանակակից
proper,պատշաճ
provides,ապահովում է
instead,փոխարենը
impact reult,ազդեցության արդյունք
ministry,ծառայություն
interrupt,ընդհատել
recent,վերջերս
refusing,հրաժարվելը
Journey,Ճանապարհորդություն
enforce,պարտադրել
recruit,նորակոչիկ
expose,բացահայտել
perspective,հեռանկար
discover,հայտնաբերել
assambly plant,հավաքման գործարան
aged,ծերացած
confidence,վստահություն
placement,տեղադրում
solid,պինդ
Unbound,Անսահմանափակ
bound,կապված
suitable,հարմար
except,բացառությամբ
query,հարցում
deal,գործարք
toss,նետել
distract,շեղել
participation,մասնակցություն
willing,կամավոր
attend,մասնակցել
rural,գյուղական
enroll,գրանցվել
effort,ջանք
though,չնայած
held,պահված
Held his head up higher,Գլուխն ավելի բարձր պահեց
he set his soul on fire,նա իր հոգին կրակի մեջ գցեց
his heart set ablaze,նրա սիրտը բոցավառվեց
scar,սպի
arose,առաջացավ
foe,թշնամի
foes left him broken,թշնամիները նրան կոտրեցին
Marched through tears,Քայլեց արցունքների միջով
wore,կրում էր
wound,վերք
through the land,ցամաքի միջով
complex,բարդ
destruction,կործանում
i was feenin,ես զգում էի
way off,հեռու
afford,թույլ տալ
հիասթափվել,to be disappointed
toward,դեպի
sudden,հանկարծակի
tounderstorm,անձրև
excited,հուզված
vacation,արձակուրդ
impatient,անհամբեր
frustrat,հիասթափեցնել
dry,չոր
delicious,համեղ
bowl,աման
deffenatly,անպայման
common,տարածված
disoppointing,հիասթափեցնող
complitly,կատարելապես
opposite,հակառակը
honest,ազնիվ
explore,ուսումնասիրել
adopt,որդեգրում
հիշատակել,to mention
by the way,ի դեպ
satisfying,բավարարող
sly,խորամանկ
casual conversation,անփույթ զրույց
pursue,հետապնդել
pressure,ճնշում
lately,վերջերս
inspired,ոգեշնչված
yummy,համեղ
crav,տենչ
rather,ավելի շուտ
prepare,պատրաստել
belly,փորը
starving,սովամահ
shore,ափ
cheap,էժան
breathe,շնչել
breed,ցեղատեսակ
sand,ավազ
descriptions,նկարագրություններ
finde out,պարզել
shinky,փայլուն
assassination,սպանություն
instand,հասկանալ
shared a instant,կիսվեց մի ակնթարթում
instant,ակնթարթային
advice,խորհուրդ
kick things off,գործը մի կողմ դնել
i’m totally hooked on this new TV series,Ես լիովին կախված եմ այս նոր հեռուստասերիալից
addicted,կախվածություն
suddenly,հանկարծակի
to lose track of time,կորցնել ժամանակի զգացողությունը
to unwind,հանգստանալ
expressions,արտահայտություններ
tremble,դողալ
opportunity,հնարավորություն
we need a topic to kick things off,մեզ թեմա է պետք՝ ամեն ինչ սկսելու համար
right away,անմիջապես
exact,ճշգրիտ
related,կապված
phrases,արտահայտություններ
Coworker,Գործընկեր
specific,կոնկրետ
pretend,ձևացնել
point out,մատնանշել
approach,մոտեցում
since,քանի որ
i have no clue,Я понятия не имею
comprehension,ըմբռնում
