seek,փնտրել
hang,կախել
courage,քաջություն
stranger,անծանոթ
hear me out,Լսիր ինձ
dock,նավամատույց
i'm vengeance inkarnet,Ես մարմնավորված վրեժն եմ։
I'm obsessed with you.,Ես տարված եմ քեզնով։
assumbed,ենթադրյալ
obtain,ստանալ
extracted,դուրս բերված
mustache,բեղ
endearing,"հմայիչ, սիրալիր"
distinguish,տարբերակել
extinguish,մարել
Burst down a hero,Արագորեն ոչնչացրեք հերոսին
beneath,տակ
Let's see what's beneath these bandages,"Եկեք տեսնենք, թե ինչ կա այս վիրակապերի տակ։"
succumb,"զիջել, տեղի տալ"
burst,պայթյուն
wither,թառամել
rotton,փտած
we appreciate your consideration of joining our company,Մենք գնահատում ենք մեր ընկերությանը միանալու վերաբերյալ Ձեր դիտարկումը։
suppose,ենթադրել
you were supposed to guard the cargo,Դու պետք է պահպանեիր բեռը։
because you’re a jinx,որովհետև դու անիծյալ ես
Open up,Բացվի՛ր
They are expanding.,Նրանք ընդլայնվում են։
we have five minutes till they are out of there,"Հինգ րոպե ունենք, մինչև նրանք դուրս գան այնտեղից։"
manifest failings,ակնհայտ թերություններ
failings,թերություններ
manifest,ակնհայտ
shipping,առաքում
shipping manifest,բեռնագրացուցակ
We really have descendant to anarchy,Մենք իսկապես անարխիայի ենք գլորվել։
i’m giving the big address tonight,Այսօր երեկոյան ես կարևոր ելույթ եմ ունենալու։
befitting,"հարիր, վայել"
more befitting your station,Ձեր դիրքին ավելի վայել
pulled,քաշեց
The strings she pulled to have me posted here,"Այն կապերը, որ նա օգտագործեց՝ ինձ այստեղ նշանակել տալու համար։"
thwart,խափանել
there is so much crime to thwart ouside our famely,"Մեր ընտանիքից դուրս այնքա՜ն շատ հանցավորություն կա, որը պետք է կանխել։"
serves you right,Արժանի էիր դրան
look out for yourself,Հոգ տար քո մասին
ill look forward to it,Անհամբերությամբ կսպասեմ դրան։
people love a grand reveal,Մարդիկ սիրում են տպավորիչ բացահայտումներ։
reveal,բացահայտել
people love grand review,Մարդիկ սիրում են մեծ շքերթը։
You might be able to share.,Հնարավոր է՝ կարողանաք կիսվել։
It's short notice,Շատ կարճ ժամանակ է մնացել։
you deserve this honour,Դուք արժանի եք այս պատվին։
brought scholars,գիտնականներ բերեց
brought scholars from distant lends,հեռավոր երկրներից գիտնականներ բերեց
have done wonders for our city,հրաշալիքներ են գործել մեր քաղաքի համար
speech this year,այս տարվա ելույթը
that was he sacrifice,Դա նրա զոհողությունն էր։
compare,համեմատել
contributions,ներդրումներ
accomplish,իրականացնել
he realised nothing he could accomplish,"Նա հասկացավ, որ ոչինչ չի կարող իրագործել։"
and focused something far more important,և կենտրոնացավ շատ ավելի կարևոր մի բանի վրա
and focused something for important,և կենտրոնացավ ինչ-որ կարևոր բանի վրա
aside,մի կողմ
Stanwick set his personal ambitions aside,Սթենվիկը մի կողմ դրեց իր անձնական հավակնությունները։
Here he stands,Ահա նա կանգնած է
toppled over,"շրջվել, տապալվել"
either,կամ
"everything he built either exploded, melted or toppled over","Նրա կառուցած ամեն ինչ կա՛մ պայթում էր, կա՛մ հալվում, կա՛մ էլ տապալվում։"
I don't know much about him.,Նրա մասին շատ բան չգիտեմ։
shape,ձև
it’s shaping up,Ամեն ինչ ձևավորվում է
It's shaping up to be an amazing progress day,Առաջընթացի հիանալի օր է ստացվում։
a bicentennial,երկհարյուրամյակ
our city is about to turn 200 years old,Մեր քաղաքը շուտով կդառնա 200 տարեկան։
therefore,հետևաբար
due to,պատճառով
to doubt,կասկածել
confuse,շփոթեցնել
through,միջոցով
few,սակավաթիվ
