tap,ծորակ
tape,ժապավեն
Apart from what he did,"Բացի նրանից, ինչ նա արեց"
however,Այնուամենայնիվ
whatever,ինչ էլ որ լինի
makes sense,Տրամաբանական է
besides,բացի այդ
research,հետազոտություն
You pushed this on me.,Դու սա պարտադրեցիր ինձ։
Although she didn't know about it.,Хотя она об этом не знала.
Exchange,Փոխանակում
I haven't been here in years,Տարիներ շարունակ այստեղ չեմ եղել։
You're missing out.,Դուք բաց եք թողնում։
realm,ոլորտ
realm,область
gateway,դարպաս
themselves,իրենք իրենց
they call themselves,Նրանք իրենց անվանում են
gang,ավազակախումբ
intend,մտադիր լինել
I intend to root it out,Մտադիր եմ արմատախիլ անել դա։
confer,խորհրդակցել
all due respect,Ամբողջ հարգանքով հանդերձ
seize,բռնել
reviewed,վերանայված
announce,հայտարարել
pledge,խոստում
"These manifests are full of discrepancies, dating back months.","Այս բեռնացուցակները լի են անհամապատասխանություններով, որոնք ամիսներ առաջվա վաղեմություն ունեն։"
smuggling fiasco was nothing,Фиаско с контрабандой было сущим пустяком.
concerned citizen,մտահոգ քաղաքացի
remain,մնալ
accomplished a lot togheter,многого добились вместе
accomplished,удавшийся
accomplished,կատարված
along,вдоль
along,երկայնքով
playing along,միասին խաղալով
tidy,կոկիկ
thats tidy for you,Դա հենց քեզ համար է հարմար ու կոկիկ։
the Council hes its culprit,Խորհուրդը գտել է մեղավորին։
culprit,մեղավոր
It seems to me.,Ինձ թվում է։
thorn,փուշ
The Firelights have been a thorn in both our sides,"«Firelights»-ը և՛ մեր, և՛ մյուսների համար մշտական ​​գլխացավանք է եղել։"
be favor,оказать услугу
favor,услуга
favor,բարեհաճություն
unless,եթե ոչ
she pushed it too far this time,Այս անգամ նա չափն անցավ։
his powers of observation,его наблюдательность
his powers of observation,նրա դիտողականությունը
observation,դիտարկում
we beg to inform you that we are instructed to wait,"խնդրում ենք տեղեկացնել ձեզ, որ մեզ հրահանգված է սպասել"
I must beg of you not to act impulsively,Պետք է խնդրեմ ձեզ՝ չգործել իմպուլսիվ կերպով։
beg,աղաչել
begs the question,հարց է առաջացնում
trophy,մրցանակ
and that's trophy enough,Եվ դա բավարար մրցանակ է։
service,ծառայություն
To be of service to the city,Քաղաքին ծառայել
able to protect,պաշտպանելու ունակ
handle this error,Կարգավորել այս սխալը
how to handle this wapon,Ինչպե՞ս վարվել այս զենքի հետ
I'm an enforcer.,Ես կարգի հրավիրող եմ։
I'm an enforcer.,Я — силовик.
I just thought you deserved it.,"Պարզապես մտածեցի, որ դու դրան արժանի էիր։"
earned,վաստակել է
earned,заработал
the trophy is yours. you earned it,Этот трофей — ваш. Вы его заслужили.
thats a serious accusation,Это серьезное обвинение.
That was quite some shooting.,Это была впечатляющая стрельба.
gamble,մոլեխաղ
rescuse,спасение
You waited it out.,Вы переждали это.
You waited it out.,"Դու համբերատար սպասեցիր, մինչև այն անցնի։"
lack,недостаток
assumbed,предполагаемый
serves you right,Так тебе и надо
hear me out,Выслушай меня
its shaping up to be an,"Судя по всему, это будет"
art is not just for the few,Արվեստը միայն ընտրյալների համար չէ։
syllable,слог
labeling,պիտակավորում
seek,փնտրել
hang,կախել
courage,քաջություն
stranger,անծանոթ
hear me out,Լսիր ինձ
dock,նավամատույց
i'm vengeance inkarnet,Ես մարմնավորված վրեժն եմ։
I'm obsessed with you.,Ես տարված եմ քեզնով։
assumbed,ենթադրյալ
obtain,ստանալ
extracted,դուրս բերված
mustache,բեղ
endearing,"հմայիչ, սիրալիր"
distinguish,տարբերակել
extinguish,մարել
Burst down a hero,Արագորեն ոչնչացրեք հերոսին
beneath,տակ
Let's see what's beneath these bandages,"Եկեք տեսնենք, թե ինչ կա այս վիրակապերի տակ։"
succumb,"զիջել, տեղի տալ"
burst,պայթյուն
wither,թառամել
rotton,փտած
we appreciate your consideration of joining our company,Մենք գնահատում ենք մեր ընկերությանը միանալու վերաբերյալ Ձեր դիտարկումը։
suppose,ենթադրել
you were supposed to guard the cargo,Դու պետք է պահպանեիր բեռը։
because you’re a jinx,որովհետև դու անիծյալ ես
Open up,Բացվի՛ր
They are expanding.,Նրանք ընդլայնվում են։
we have five minutes till they are out of there,"Հինգ րոպե ունենք, մինչև նրանք դուրս գան այնտեղից։"
manifest failings,ակնհայտ թերություններ
failings,թերություններ
manifest,ակնհայտ
shipping,առաքում
shipping manifest,բեռնագրացուցակ
We really have descendant to anarchy,Մենք իսկապես անարխիայի ենք գլորվել։
i’m giving the big address tonight,Այսօր երեկոյան ես կարևոր ելույթ եմ ունենալու։
befitting,"հարիր, վայել"
more befitting your station,Ձեր դիրքին ավելի վայել
pulled,քաշեց
The strings she pulled to have me posted here,"Այն կապերը, որ նա օգտագործեց՝ ինձ այստեղ նշանակել տալու համար։"
thwart,խափանել
there is so much crime to thwart ouside our famely,"Մեր ընտանիքից դուրս այնքա՜ն շատ հանցավորություն կա, որը պետք է կանխել։"
serves you right,Արժանի էիր դրան
look out for yourself,Հոգ տար քո մասին
ill look forward to it,Անհամբերությամբ կսպասեմ դրան։
people love a grand reveal,Մարդիկ սիրում են տպավորիչ բացահայտումներ։
reveal,բացահայտել
people love grand review,Մարդիկ սիրում են մեծ շքերթը։
You might be able to share.,Հնարավոր է՝ կարողանաք կիսվել։
It's short notice,Շատ կարճ ժամանակ է մնացել։
