behold,"տեսնել, նայել (բարձր ոճ)"
"(literary) Behold, the sun rises over the mountains.","(գրական) Ահա՛, արևը բարձրանում է լեռների վրա։"
"(religious) Behold, I am with you always.","(կրոնական) Ահա՛, ես միշտ ձեզ հետ եմ։"
(presentation) Behold our newest invention!,(ներկայացում) Նայեք մեր ամենանոր գյուտին։
"(humor) Behold, the last slice of pizza!","(հումոր) Ահա՛, պիցայի վերջին կտորը։"
kick off,"սկսել, մեկնարկել (սպորտ՝ խաղը սկսել գնդակին հարվածելով)"
(football) The match kicks off at 8 p.m.,(ֆուտբոլ) Խաղը մեկնարկում է երեկոյան ժամը 8-ին։
(work) Let's kick off the meeting with a quick update.,(աշխատանք) Եկեք հանդիպումը սկսենք կարճ տեղեկատվությամբ։
(project) We will kick off the new project next Monday.,(նախագիծ) Նոր նախագիծը կմեկնարկենք հաջորդ երկուշաբթի։
(party) The DJ kicked off the party with my favorite song.,(երեկույթ) Դիջեյը երեկույթը սկսեց իմ սիրելի երգով։
interrupt,"ընդհատել, խանգարել"
"(conversation) Sorry to interrupt, but can I ask a question?","(զրույց) Ներողություն, որ ընդհատում եմ, բայց կարելի՞ է հարց տալ։"
(work) Please don't interrupt me while I'm working.,"(աշխատանք) Խնդրում եմ, ինձ մի՛ խանգարեք, մինչ աշխատում եմ։"
(school) The teacher told him not to interrupt other students.,"(դպրոց) Ուսուցիչը նրան ասաց, որ չընդհատի մյուս աշակերտներին։"
(news) We interrupt this program for breaking news.,(լուրեր) Մենք ընդհատում ենք այս հաղորդումը հրատապ լուրի համար։
notice,"նկատել, ուշադրություն դարձնել; (գոյական) ծանուցում, հայտարարություն"
(everyday) I didn't notice that you cut your hair.,"(առօրյա) Ես չնկատեցի, որ մազերդ կտրել ես։"
(work) Please give me two weeks' notice before you quit.,"(աշխատանք) Խնդրում եմ, հեռանալուց երկու շաբաթ առաջ ինձ նախազգուշացրեք։"
(street) There is a notice on the door: the store is closed today.,(փողոց) Դռան վրա հայտարարություն կա՝ խանութն այսօր փակ է։
(school) The teacher noticed that he was not listening.,"(դպրոց) Ուսուցիչը նկատեց, որ նա չի լսում։"
few,"քիչ, մի քանի"
(everyday) I have a few friends in Yerevan.,(առօրյա) Երևանում մի քանի ընկեր ունեմ։
(shopping) There are only a few apples left in the store.,(գնումներ) Խանութում ընդամենը մի քանի խնձոր է մնացել։
(work) Few people understood the new system.,(աշխատանք) Քչերն էին հասկացել նոր համակարգը։
"(time) Wait a few minutes, please.","(ժամանակ) Խնդրում եմ, սպասեք մի քանի րոպե։"
thwart,"խափանել, տապալել, խանգարել (պլանին, նպատակին)"
(crime) The police thwarted the robbery.,(հանցագործություն) Ոստիկանությունը խափանեց կողոպուտը։
(work) Bad weather thwarted our plans for the launch.,(աշխատանք) Վատ եղանակը տապալեց մեր գործարկման պլանները։
(sport) The goalkeeper thwarted every attack.,(սպորտ) Դարպասապահը խափանեց յուրաքանչյուր գրոհ։
(personal) Nothing could thwart her dream of becoming a doctor.,(անձնական) Ոչինչ չէր կարող խանգարել նրա երազանքին՝ բժիշկ դառնալուն։
pushed,"հրել, հրեց (push-ի անցյալ ժամանակ); ստիպել, ճնշում գործադրել; (git) ուղարկել կոդը սերվեր"
"(everyday) He pushed the door, but it was locked.","(առօրյա) Նա հրեց դուռը, բայց այն փակ էր։"
(crowd) Someone pushed me in the crowded metro.,(բազմություն) Ինչ-որ մեկը հրեց ինձ մարդաշատ մետրոյում։
